Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,
Definition,0,file_id,type,1,,time_created,1,,manufacturer,1,,product,1,,product_name,20,,
Data,0,file_id,type,"4",,time_created,"996509912",,manufacturer,"23",,product,"23",,product_name,"Suunto Ambit3 Sport",,
Definition,1,record,timestamp,1,,position_lat,1,,position_long,1,,,,,,,,
Definition,2,record,timestamp,1,,distance,1,,altitude,1,,speed,1,,vertical_speed,1,,
Definition,3,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,vertical_speed,1,,
Definition,4,record,timestamp,1,,altitude,1,,speed,1,,vertical_speed,1,,,,,,,,,,,
Definition,5,event,event,1,,timestamp,1,,event_type,1,,data,1,,,,,,,,,,,
Definition,6,session,timestamp,1,,start_time,1,,event,1,,event_type,1,,sport,1,,avg_speed,1,,max_speed,1,,total_timer_time,1,,total_elapsed_time,1,,total_distance,1,,max_altitude,1,,min_altitude,1,,total_ascent,1,,total_descent,1,,
Data,1,record,timestamp,"996507446",s,position_lat,"640221984",semicircles,position_long,"-12104565",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507449",s,position_lat,"640223130",semicircles,position_long,"-12104708",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"996507451",s,distance,"647.0",m,altitude,"10.0",m,speed,"2.22",m/s,vertical_speed,"0.03",m/s,enhanced_altitude,"10.0",m,enhanced_speed,"2.22",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507454",s,position_lat,"640224263",semicircles,position_long,"-12105006",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507458",s,position_lat,"640225587",semicircles,position_long,"-12105376",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"996507461",s,position_lat,"640226709",semicircles,position_long,"-12105698",semicircles,distance,"681.0",m,altitude,"10.0",m,speed,"2.73",m/s,vertical_speed,"0.01",m/s,enhanced_altitude,"10.0",m,enhanced_speed,"2.73",m/s,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507464",s,position_lat,"640227842",semicircles,position_long,"-12105996",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507469",s,position_lat,"640228975",semicircles,position_long,"-12106199",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"996507471",s,distance,"703.0",m,altitude,"10.0",m,speed,"2.91",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"10.0",m,enhanced_speed,"2.91",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507475",s,position_lat,"640230073",semicircles,position_long,"-12106474",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507479",s,position_lat,"640231234",semicircles,position_long,"-12106598",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"996507481",s,distance,"724.0",m,altitude,"9.0",m,speed,"2.48",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"9.0",m,enhanced_speed,"2.48",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507482",s,position_lat,"640232546",semicircles,position_long,"-12106335",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507485",s,position_lat,"640233859",semicircles,position_long,"-12105989",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507487",s,position_lat,"640234956",semicircles,position_long,"-12105858",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507489",s,position_lat,"640236400",semicircles,position_long,"-12105679",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"996507491",s,distance,"772.0",m,altitude,"9.0",m,speed,"3.77",m/s,vertical_speed,"-0.01",m/s,enhanced_altitude,"9.0",m,enhanced_speed,"3.77",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507492",s,position_lat,"640238189",semicircles,position_long,"-12105536",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507493",s,position_lat,"640240110",semicircles,position_long,"-12105309",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507495",s,position_lat,"640242234",semicircles,position_long,"-12105166",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
