Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,
Definition,0,file_id,type,1,,time_created,1,,manufacturer,1,,product,1,,product_name,20,,
Data,0,file_id,type,"4",,time_created,"1004259477",,manufacturer,"23",,product,"23",,product_name,"Suunto Ambit3 Sport",,
Definition,1,record,timestamp,1,,position_lat,1,,position_long,1,,,,,,,,
Definition,2,record,timestamp,1,,distance,1,,altitude,1,,speed,1,,vertical_speed,1,,
Definition,3,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,vertical_speed,1,,
Definition,4,event,event,1,,timestamp,1,,event_type,1,,data,1,,,,,,,,,,,
Definition,5,session,timestamp,1,,start_time,1,,event,1,,event_type,1,,sport,1,,avg_speed,1,,max_speed,1,,total_timer_time,1,,total_elapsed_time,1,,total_distance,1,,max_altitude,1,,min_altitude,1,,total_ascent,1,,total_descent,1,,
Data,2,record,timestamp,"1004253740",s,distance,"491.0",m,altitude,"7.0",m,speed,"1.87",m/s,vertical_speed,"0.01",m/s,enhanced_altitude,"7.0",m,enhanced_speed,"1.87",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253742",s,position_lat,"640256210",semicircles,position_long,"-12107633",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253746",s,position_lat,"640255709",semicircles,position_long,"-12105844",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1004253750",s,position_lat,"640255912",semicircles,position_long,"-12104042",semicircles,distance,"523.0",m,altitude,"7.0",m,speed,"2.06",m/s,vertical_speed,"0.03",m/s,enhanced_altitude,"7.0",m,enhanced_speed,"2.06",m/s,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253756",s,position_lat,"640255554",semicircles,position_long,"-12102098",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253760",s,distance,"534.0",m,altitude,"7.0",m,speed,"2.12",m/s,vertical_speed,"0.01",m/s,enhanced_altitude,"7.0",m,enhanced_speed,"2.12",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253761",s,position_lat,"640255065",semicircles,position_long,"-12100129",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253766",s,position_lat,"640254600",semicircles,position_long,"-12098483",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253770",s,distance,"556.0",m,altitude,"7.0",m,speed,"2.16",m/s,vertical_speed,"0.03",m/s,enhanced_altitude,"7.0",m,enhanced_speed,"2.16",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253771",s,position_lat,"640254099",semicircles,position_long,"-12096777",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
